id,zipcode,lot-len,lot-width,lot-area,house-area,garden-size,balcony,x-coor,y-coor,buildyear,bathrooms,taxvalue,retailvalue,energy-eff,monument
9001,3520,35.1,14.2,499,147,406,1,2192,5470,1978,2,173100,232000,0,0
9002,3520,22.2,18.2,404,109,328,1,2059,5228,1981,1,136000,184000,0,1
9003,3520,59.7,11.8,704,89,629,1,2243,5388,1972,1,169000,230000,0,0
9004,3520,39,18.6,726,130,669,1,2050,5432,1970,2,196900,257000,0,0
9005,3520,44.2,18.1,800,160,750,0,2138,5110,1978,2,226000,286000,0,0
9006,3520,16.8,11.4,192,154,124,0,2194,5214,1972,2,131200,185000,0,0
9007,3520,6.7,16.5,111,159,19,0,2381,5378,1972,1,122100,182000,0,0
9008,3520,17.4,14.4,250,139,180,1,2083,5292,1974,1,130900,184000,0,0
9009,3520,48.8,17.4,849,115,796,1,2140,5192,1976,1,206400,266000,0,0
9010,3520,76.3,11.6,885,118,793,0,2349,5240,1985,1,213600,280000,0,1
9011,3520,40.7,18.3,745,99,665,0,2419,5249,1980,1,181200,244000,0,0
9012,3520,44.5,14.1,628,134,531,1,2333,5025,1978,2,184600,241000,0,0
9013,3520,23.1,12,277,95,212,0,2201,5477,1971,1,108600,163000,0,0
9014,3520,12.5,15.4,192,102,135,1,2103,5375,1971,1,100000,151000,0,0
9015,3520,11.1,16.4,182,102,116,0,2410,5060,1984,1,98500,149000,0,0
9016,3520,26.9,14,377,149,317,1,2080,5250,1985,1,156000,212000,0,1
9017,3520,13.4,19.8,265,157,193,0,2121,5141,1970,2,144000,196000,0,0
9018,3520,61,10.7,653,140,599,0,2464,5463,1975,2,192000,258000,0,0
9019,3520,31.8,13.1,416,126,335,0,2429,5139,1970,1,148000,203000,0,0
9020,3520,20.4,15.2,310,153,253,0,2474,5302,1973,2,148300,211000,0,0
9021,3525,81.3,10.3,837,146,745,0,2869,5763,1982,2,218200,253000,0,0
9022,3525,27.3,18.7,511,170,418,0,2720,5786,1985,1,183700,220000,0,1
9023,3525,53,11.1,588,129,530,0,2453,5514,1980,2,170600,229000,0,0
9024,3525,38.7,15.2,588,110,531,1,2474,5630,1988,1,159200,210000,0,1
9025,3525,41.5,11.1,461,193,377,0,2616,5936,2004,1,190000,225000,0,0
9026,3525,42.7,12.7,542,164,463,1,2483,5808,2001,1,184700,230000,0,0
9027,3525,34.8,18.7,650,191,568,0,2947,5845,1998,2,217100,245000,0,0
9028,3525,10.1,19.8,200,190,140,0,2762,5697,1994,1,149000,185000,0,0
9029,3525,56.4,14,790,106,734,1,2647,5731,2001,1,187100,229000,1,0
9030,3525,14.9,14.9,222,128,160,0,2718,5812,2001,2,115100,144000,1,0
9031,3525,32.4,17.6,570,113,501,0,2448,5972,1984,1,158300,195000,0,0
9032,3525,17,16.8,286,100,214,0,2705,5987,1992,1,107900,129000,0,0
9033,3525,25.2,17.8,449,96,358,0,2791,5816,1981,1,130000,154000,0,0
9034,3525,12.2,15.3,186,134,115,1,2666,5641,1983,2,113300,151000,0,0
9035,3525,26.2,17.7,464,159,397,0,2550,5667,1994,1,170000,217000,0,1
9036,3525,10.3,18.8,193,147,131,0,2569,5981,1982,2,122200,151000,0,0
9037,3525,32.2,16.6,534,170,464,1,2717,5733,1980,2,187100,226000,0,1
9038,3525,12.5,19.6,245,167,166,0,2766,5843,1995,1,142000,171000,0,0
9039,3525,67.2,11.8,793,160,713,0,2919,5930,1981,1,220000,246000,0,0
9040,3525,62.8,12.8,804,175,716,1,2512,5710,1980,1,230600,286000,0,0
9041,3528,10.2,14.3,146,105,83,1,2438,5437,2000,1,84900,140000,1,0
